isoform	TGPBS1	TGPBS2	TGPBS3	TGPBS4	TGOva1	TGOva2	TGOva3	TGOva4
transcript6656.chr6.nnic	3.34	2.65	6.68	3.07	3.67	5.41	3.42	3.11
transcript8312.chr15.nic	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.55
transcript8317.chr15.nic	0.0	0.0	0.0	1.01	0.66	0.0	0.0	0.0
transcript4906.chr11.nic	8.56	10.28	8.91	6.02	8.39	5.55	6.18	6.55
transcript8854.chr15.nnic	1.28	2.98	1.56	1.5	1.63	1.68	2.61	2.0
transcript52.chr5.nic	13.0	7.69	12.75	8.99	4.96	6.99	4.24	5.43
transcript8261.chr11.nic	0.0	5.27	0.0	0.0	0.0	0.0	0.0	0.0
transcript8302.chr11.nic	4.15	8.11	6.0	6.54	3.83	6.94	7.3	3.18
transcript3728.chr6.nic	2.08	1.73	2.95	2.97	1.58	1.89	3.2	1.9
transcript10016.chr10.nnic	18.51	20.91	17.35	15.94	15.95	15.02	17.64	13.9
transcript4792.chr10.nnic	0.29	0.0	0.09	0.37	0.0	0.0	0.0	0.0
transcript10063.chr8.nnic	6.59	1.56	8.19	8.39	8.18	3.25	6.92	8.0
transcript10066.chr8.nic	4.6	4.9	8.95	3.2	3.6	6.11	5.05	4.01
transcript10174.chr8.nic	0.71	2.28	1.46	2.69	1.39	1.44	0.92	1.85
transcript3656.chr11.nnic	1.2	1.53	0.73	1.21	0.77	0.46	0.4	0.71
transcript5118.chr6.nnic	5.75	6.8	7.35	8.09	8.23	5.4	8.09	8.55
transcript16873.chr2.nic	5.23	3.96	4.57	6.04	5.21	4.36	6.0	2.87
transcript16831.chr2.nic	58.42	64.66	62.79	57.22	64.16	63.67	58.01	57.49
transcript16789.chr2.nic	17.51	20.44	15.06	22.97	17.45	21.73	17.66	20.16
transcript1879.chrX.nnic	5.55	9.91	9.45	7.98	7.1	6.62	9.07	9.79
transcript1881.chrX.nic	5.02	3.83	2.65	7.19	4.18	7.32	3.43	3.37
transcript2024.chr11.nic	0.32	0.31	0.0	0.71	0.0	0.0	0.37	0.0
transcript13287.chr2.nnic	6.79	6.94	8.53	8.1	6.95	8.85	6.21	6.12
transcript4096.chr10.nnic	0.5	0.54	0.38	0.68	0.0	0.0	0.0	0.0
transcript4097.chr10.nic	0.59	2.42	0.41	1.9	1.54	1.69	1.48	0.59
transcript11211.chr5.nic	5.14	3.43	3.52	5.38	1.88	2.72	1.68	2.37
transcript2777.chr15.nnic	0.7	0.0	0.0	0.0	0.0	1.17	0.0	0.0
transcript2790.chr15.nic	0.0	0.7	0.53	0.95	0.87	0.31	0.15	0.0
transcript3144.chr14.nnic	6.64	4.85	2.74	5.45	2.2	1.8	3.62	1.0
transcript3139.chr14.nic	1.37	0.64	0.0	0.25	1.71	0.0	0.05	0.0
transcript4475.chr3.nic	2.06	5.25	0.0	2.76	6.78	11.65	9.94	11.06
transcript4485.chr3.nic	18.08	14.98	11.24	12.55	13.05	13.92	14.79	16.71
transcript5377.chr11.nic	1.24	0.81	0.0	1.16	0.53	1.05	0.81	0.0
transcript5407.chr11.nnic	0.52	0.93	2.29	0.63	1.05	0.83	1.24	1.13
transcript7624.chr3.nic	4.75	9.3	9.36	4.89	5.2	9.75	8.78	8.94
transcript7636.chr3.nnic	1.73	3.11	2.54	1.95	2.26	2.45	2.58	3.35
transcript3499.chr11.nic	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.72
transcript10253.chr8.nic	0.69	3.59	1.35	0.87	3.31	2.69	2.88	4.56
transcript10301.chr8.nic	4.57	8.6	3.57	4.29	6.57	6.13	6.33	7.81
transcript10326.chr8.nic	1.92	0.0	1.89	0.0	0.45	0.0	0.0	0.0
transcript10340.chr8.nic	0.0	0.0	1.78	0.0	0.67	0.0	0.49	2.25
transcript10356.chr8.nic	0.18	4.59	3.87	5.12	1.23	1.94	8.66	2.85
transcript7706.chr15.nnic	6.22	5.09	6.92	5.29	4.74	5.18	6.16	6.12
transcript8445.chr11.nic	2.75	3.59	3.38	2.89	3.04	2.97	3.84	3.53
transcript4245.chr10.nic	1.41	2.44	1.87	0.96	2.52	2.93	1.7	1.65
transcript4350.chr10.nnic	65.74	68.72	66.48	65.71	62.1	58.92	63.03	66.66
transcript4372.chr10.nnic	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0
transcript951.chrX.nic	1.28	0.0	0.0	1.21	0.96	0.71	0.8	0.0
transcript1062.chrX.nnic	4.98	6.29	4.07	4.5	3.45	2.82	4.34	5.69
transcript4157.chr10.nnic	0.0	0.0	0.45	0.0	0.0	0.1	0.12	0.12
transcript4162.chr10.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript8990.chr5.nnic	1.1	1.48	1.43	0.0	0.76	1.56	0.46	0.0
transcript8992.chr5.nnic	0.35	0.0	0.0	1.6	0.0	0.0	0.86	0.43
transcript8995.chr5.nnic	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0
transcript8996.chr5.nnic	0.71	1.45	2.33	2.15	2.27	2.49	4.27	0.0
transcript9006.chr5.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript9007.chr5.nnic	1.28	2.49	2.15	4.4	1.89	1.93	2.59	6.37
transcript9012.chr5.nnic	1.44	0.0	0.0	0.0	0.67	0.0	0.0	0.0
transcript5267.chr12.nnic	484.15	455.82	454.65	415.23	484.91	493.85	514.78	478.81
transcript4829.chr10.nic	37.88	36.12	23.49	35.47	25.02	42.38	27.48	46.62
transcript7182.chr17.nnic	12.45	10.48	10.4	7.65	11.52	8.95	11.17	10.37
transcript7184.chr17.nnic	1.62	3.0	4.44	1.63	2.98	2.08	1.97	1.5
transcript12143.chr11.nnic	0.57	2.23	0.83	0.82	0.97	0.9	1.19	0.92
transcript4181.chr7.nic	0.88	2.25	3.38	1.34	0.89	2.05	1.27	1.38
transcript4183.chr7.nic	1.6	2.28	2.51	1.71	0.61	2.48	0.8	4.05
transcript4187.chr7.nic	17.0	21.24	15.28	18.99	25.34	20.17	18.37	20.08
transcript8593.chr15.nic	4.21	4.18	0.0	4.53	1.81	1.58	3.94	5.37
transcript7564.chr11.nnic	13.23	14.73	13.32	12.31	14.4	17.65	13.78	14.36
transcript7570.chr11.nic	15.87	12.92	17.29	20.83	16.56	16.51	22.29	14.45
transcript7706.chr4.nnic	3.69	5.07	4.42	4.33	4.14	4.12	4.07	5.08
transcript3198.chr3.nic	2.4	3.44	2.45	1.54	3.69	4.39	5.13	2.24
transcript3221.chr3.nic	10.76	9.56	12.33	11.15	11.4	9.63	10.44	12.92
transcript4589.chr10.nnic	2.45	2.71	3.45	2.06	1.27	1.92	0.52	0.0
transcript4630.chr10.nic	3.74	4.46	3.12	3.42	3.85	4.11	5.7	3.85
transcript8350.chr6.nnic	5.24	6.01	3.94	5.09	8.62	6.83	6.03	3.76
transcript4508.chr13.nic	9.65	8.79	6.92	9.94	7.87	9.09	7.84	10.53
transcript1635.chr5.nnic	12.08	12.51	11.48	11.4	14.39	11.65	10.27	11.25
transcript9117.chr6.nnic	0.96	1.83	1.93	1.19	3.28	0.87	3.09	1.48
transcript9126.chr6.nnic	0.28	1.02	0.97	1.26	1.06	2.48	2.12	2.55
transcript6272.chr6.nic	2.28	5.57	4.9	3.66	4.18	1.1	2.55	3.49
transcript4071.chr10.nnic	1.92	2.31	1.27	1.53	3.02	1.4	3.17	2.29
transcript5783.chr1.nic	1.17	2.13	2.4	1.4	2.2	1.68	1.8	1.27
transcript8711.chr7.nic	4.32	3.19	5.92	4.04	4.22	5.44	6.67	4.46
transcript8714.chr7.nnic	4.18	6.57	4.98	3.88	3.13	4.08	3.74	3.75
transcript8716.chr7.nnic	10.81	13.52	14.58	13.5	13.57	8.52	15.0	12.39
transcript8735.chr7.nic	0.53	0.29	0.38	0.3	0.0	0.14	0.23	0.36
transcript119.chr19.nic	0.0	3.57	1.37	2.04	1.52	1.49	2.1	5.34
transcript121.chr19.nic	0.84	1.23	0.08	0.74	0.0	2.63	4.34	3.62
transcript124.chr19.nic	2.36	0.0	1.17	0.0	2.18	2.32	0.0	0.0
transcript12040.chr11.nnic	0.0	0.0	1.37	0.75	0.0	0.94	0.0	1.54
transcript12042.chr11.nnic	0.28	0.67	1.23	0.0	1.37	0.0	0.0	0.0
transcript12047.chr11.nnic	0.32	0.3	0.0	1.91	0.0	1.16	0.0	0.0
transcript13080.chr5.nic	1.48	3.6	1.47	1.89	1.88	7.83	4.29	4.31
transcript13110.chr5.nic	5.18	5.35	4.74	5.78	4.55	4.01	3.41	4.85
transcript13437.chr11.nnic	14.76	16.67	16.7	15.59	15.66	15.8	16.79	16.27
transcript5751.chr8.nic	1.55	0.51	0.88	0.39	0.0	1.06	0.0	0.0
transcript5754.chr8.nic	0.94	0.74	2.57	1.25	0.0	2.98	1.09	0.0
transcript5771.chr8.nic	4.96	8.87	9.18	6.48	6.32	4.1	8.32	9.66
transcript5829.chr8.nic	2.46	0.93	1.27	0.0	2.48	2.09	0.86	0.0
transcript5835.chr8.nic	2.3	0.0	0.0	0.86	1.55	0.0	1.82	0.0
transcript5837.chr8.nic	3.18	4.99	3.46	4.64	0.06	2.8	2.09	6.21
transcript5878.chr8.nic	0.0	0.38	0.0	0.0	0.0	0.0	2.03	0.48
transcript2158.chr9.nic	0.0	1.88	0.0	0.36	0.0	0.52	0.69	1.76
transcript2161.chr9.nic	0.55	0.78	0.75	1.24	0.66	0.23	1.11	0.19
transcript10542.chr2.nnic	10.09	16.8	14.0	17.84	19.75	12.1	8.36	9.78
transcript2223.chrX.nnic	4.94	2.07	2.31	4.55	5.81	4.12	7.71	1.45
transcript2225.chrX.nnic	7.05	2.4	6.63	5.43	1.41	2.59	8.45	7.67
transcript2127.chrX.nnic	0.0	0.0	0.75	0.0	0.56	0.0	2.86	1.06
transcript2167.chrX.nnic	3.66	3.9	3.97	5.12	2.99	7.02	6.48	3.09
transcript3082.chr9.nic	2.27	1.21	1.02	4.26	2.53	2.04	1.45	2.52
transcript3086.chr9.nic	0.98	1.56	2.16	1.02	2.02	0.66	2.03	4.16
transcript3100.chr9.nic	8.54	8.88	3.77	2.26	3.92	8.89	7.04	10.33
transcript3106.chr9.nic	2.63	8.14	4.94	3.79	6.81	4.85	9.26	7.24
transcript3122.chr9.nic	0.0	0.0	1.51	0.0	0.0	3.44	3.06	0.0
transcript1108.chr7.nic	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0
transcript7577.chr2.nnic	0.91	1.38	0.0	0.22	1.07	0.67	3.93	1.63
transcript7583.chr2.nnic	0.59	1.85	1.91	1.05	0.0	0.05	0.0	0.98
transcript7632.chr2.nic	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.34
transcript7633.chr2.nic	2.28	1.05	0.0	0.73	0.17	1.18	1.2	1.78
transcript7638.chr2.nic	1.88	2.84	3.07	3.8	4.03	1.74	3.75	0.64
transcript1516.chr5.nnic	11.69	13.28	14.66	12.04	12.29	14.33	12.74	12.27
transcript1537.chr5.nic	0.6	1.16	0.62	0.33	1.55	0.57	1.51	0.73
transcript6085.chr3.nnic	4.15	0.88	0.94	6.5	2.26	4.36	1.9	7.14
transcript6113.chr3.nic	13.33	13.47	15.12	13.89	15.17	14.66	13.14	11.7
transcript3291.chr17.nnic	0.61	0.32	0.22	0.54	0.0	0.7	2.23	0.0
transcript3306.chr17.nnic	0.63	0.0	0.0	0.0	0.77	0.71	0.0	1.78
transcript3307.chr17.nnic	0.0	0.78	0.0	0.0	0.9	0.0	0.0	0.0
transcript2593.chr17.nic	0.79	2.47	2.17	1.7	1.75	1.32	1.16	1.46
transcript2352.chr17.nic	0.54	4.38	3.73	3.03	3.08	5.47	1.49	0.0
transcript2356.chr17.nic	2.52	4.4	4.32	7.4	7.69	5.94	5.88	7.67
transcript4543.chr17.nic	0.0	2.26	0.0	0.0	0.0	1.53	0.0	0.0
transcript3714.chr14.nic	1.93	1.51	2.51	3.25	1.76	0.0	1.17	7.21
transcript3712.chr14.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51
transcript3889.chr8.nnic	1.27	1.0	1.9	2.46	1.08	1.27	0.44	2.79
transcript3890.chr8.nic	7.63	7.9	6.39	6.23	7.07	7.45	9.26	8.53
transcript100.chr17.nic	0.0	0.0	1.34	0.0	0.0	2.14	1.22	0.55
transcript7443.chr17.nnic	1.56	2.17	1.03	1.68	1.46	3.12	4.26	2.35
transcript7447.chr17.nic	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0
transcript4295.chr8.nic	0.48	0.0	0.49	0.2	0.47	0.18	0.19	0.21
transcript4302.chr8.nnic	1.17	0.76	0.56	0.0	0.0	0.0	0.46	0.0
transcript4314.chr8.nic	1.2	1.64	1.44	1.73	2.89	1.82	1.77	3.34
transcript4315.chr8.nnic	0.54	0.55	0.29	1.66	0.84	0.0	0.91	3.93
transcript4270.chr8.nic	3.11	0.95	5.26	4.54	7.07	3.65	4.81	2.66
transcript4271.chr8.nic	13.79	13.27	10.64	13.16	11.52	9.16	14.86	16.24
transcript4275.chr8.nic	1.33	2.2	1.75	2.17	1.74	2.17	1.16	2.41
transcript4318.chr8.nnic	0.0	0.0	0.0	0.2	0.45	0.0	0.0	0.0
transcript3066.chr7.nnic	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.49
transcript403.chr3.nic	1.69	4.68	2.24	2.34	2.12	3.58	1.78	2.84
transcript16861.chr2.nic	4.7	1.8	0.46	0.77	1.09	3.84	1.35	3.13
transcript72.chr1.nnic	0.64	1.67	0.28	0.82	0.63	0.65	0.8	1.06
transcript1709.chr17.nic	6.17	5.25	6.22	0.3	5.94	5.38	3.93	2.06
transcript1715.chr17.nic	2.29	2.77	0.0	2.31	1.36	2.9	2.61	1.48
transcript1720.chr17.nic	2.8	0.72	0.56	1.47	0.65	1.37	0.91	1.55
transcript1755.chr17.nnic	27.12	21.33	18.16	17.17	16.05	17.68	14.33	26.25
transcript2889.chr15.nic	6.14	6.67	4.08	4.16	6.55	4.62	0.0	1.49
transcript3625.chr2.nic	10.95	13.07	6.7	11.99	5.74	0.0	10.41	10.13
transcript3626.chr2.nnic	3.51	7.07	4.65	8.76	7.98	8.04	6.68	6.14
transcript3631.chr2.nnic	7.32	3.89	6.45	2.83	5.83	5.45	5.15	8.08
transcript2547.chr7.nnic	1.2	2.72	1.3	2.69	3.03	2.41	0.79	1.25
transcript2436.chr7.nic	4.8	6.51	6.12	0.39	2.07	3.75	5.64	3.43
transcript2470.chr7.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript3921.chr17.nic	5.79	8.55	4.28	9.79	10.79	8.4	9.31	8.55
transcript2042.chr12.nnic	0.08	0.08	0.78	0.08	0.46	0.0	0.31	0.69
transcript2625.chr11.nnic	5.01	3.83	3.87	3.96	4.04	4.17	3.18	4.68
transcript6868.chr2.nnic	3.66	2.25	4.72	0.0	4.14	4.32	1.68	1.91
transcript6859.chr12.nic	19.59	19.54	19.68	20.08	20.14	19.65	19.48	19.9
transcript6911.chr12.nic	1.95	1.96	2.62	1.39	3.08	1.67	1.69	2.81
transcript923.chr9.nnic	12.48	7.94	13.15	13.47	12.12	10.53	10.69	14.56
transcript928.chr9.nic	15.62	14.24	12.71	8.35	10.71	14.74	15.67	14.75
transcript7087.chr17.nic	7.37	2.56	6.85	3.85	2.24	4.04	2.01	2.77
transcript7109.chr17.nic	4.9	6.45	4.66	5.05	5.41	5.35	5.4	5.95
transcript7061.chr17.nnic	0.47	0.72	0.54	0.46	0.52	0.52	0.48	1.38
transcript4027.chr16.nic	1.59	4.47	5.25	4.67	3.47	3.6	3.03	3.53
transcript5099.chr6.nic	3.33	3.57	2.34	1.05	1.5	5.44	3.25	1.6
transcript1518.chr12.nnic	18.41	16.88	15.41	13.57	19.85	18.12	16.51	10.31
transcript4111.chr8.nnic	5.11	6.69	0.99	3.34	2.08	1.04	3.09	0.76
transcript4118.chr8.nic	0.16	0.93	3.81	0.18	0.0	0.97	0.71	1.96
transcript4126.chr8.nic	7.82	8.23	7.65	6.65	11.2	10.8	9.83	9.74
transcript4137.chr8.nic	4.39	2.16	3.38	5.08	1.87	3.43	1.54	4.55
transcript306.chr8.nic	2.54	1.45	0.19	0.0	1.13	1.28	0.0	2.23
transcript5258.chr7.nic	4.24	0.0	3.03	0.0	0.0	0.0	0.0	4.67
transcript5218.chr7.nic	0.0	0.56	2.8	0.0	0.0	2.68	0.0	0.19
transcript1589.chr12.nic	19.74	22.66	15.68	26.27	19.71	16.98	27.68	22.3
transcript4759.chr8.nic	20.76	12.77	16.02	13.93	13.23	13.5	12.2	15.01
transcript4764.chr8.nic	3.83	1.33	3.37	1.47	2.84	2.83	2.07	2.46
transcript7462.chr6.nic	0.98	2.04	0.89	0.48	1.4	0.45	1.53	1.17
transcript7463.chr6.nnic	0.41	1.72	0.0	0.61	3.55	0.45	2.85	1.7
transcript7464.chr6.nnic	2.56	2.06	1.49	3.27	2.13	0.0	0.82	3.24
transcript7470.chr6.nnic	9.07	2.29	10.2	0.0	3.02	7.61	1.4	1.64
transcript5503.chr7.nnic	0.67	0.92	0.58	0.0	0.0	0.7	0.74	0.48
transcript5510.chr7.nic	2.66	5.31	3.13	4.27	1.53	1.18	2.52	2.11
transcript7041.chr17.nic	18.28	10.47	17.61	10.25	6.81	2.97	15.1	7.96
transcript7045.chr17.nnic	0.54	1.5	1.1	0.49	1.5	1.94	1.16	1.28
transcript7053.chr17.nic	1.84	2.83	1.55	4.05	2.49	1.13	4.37	2.59
transcript6337.chr7.nic	10.81	9.23	6.58	8.81	9.57	13.52	9.84	14.09
transcript745.chr9.nic	3.11	1.58	1.09	2.5	1.38	0.98	3.02	0.0
transcript747.chr9.nic	4.21	2.82	2.0	2.99	2.06	2.9	3.24	2.17
transcript755.chr9.nic	0.0	0.0	0.92	1.48	0.0	0.21	0.0	2.38
transcript757.chr9.nic	0.72	0.68	1.17	0.81	1.49	2.9	2.03	0.89
transcript5940.chr10.nic	0.07	0.0	0.0	0.89	0.0	0.0	0.0	0.0
transcript5942.chr10.nnic	1.94	1.52	2.11	2.33	1.7	1.59	1.98	1.87
transcript6006.chr10.nic	56.18	58.33	58.9	56.65	57.65	55.57	59.99	56.92
transcript5974.chr10.nnic	0.0	4.76	7.81	6.49	3.89	5.62	0.0	2.46
transcript6130.chr10.nnic	0.0	0.25	0.0	0.25	0.0	0.0	0.05	0.23
transcript7384.chr15.nic	8.57	7.84	4.13	8.17	5.27	3.24	10.62	7.86
transcript2672.chr7.nic	33.27	59.8	42.4	26.89	51.64	58.18	21.95	65.98
transcript1275.chr9.nnic	0.0	0.0	1.19	0.0	0.0	1.25	1.1	0.0
transcript1308.chr9.nnic	7.22	8.16	10.01	7.65	10.26	8.3	8.5	7.65
transcript5672.chr7.nnic	4.59	5.88	3.59	2.76	5.37	2.83	4.32	4.99
transcript5679.chr7.nic	0.73	0.3	0.69	1.14	0.62	0.87	1.31	1.3
transcript3203.chr7.nnic	0.68	1.45	1.26	1.36	1.1	0.9	1.74	0.67
transcript9380.chr6.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript814.chr6.nic	6.6	5.87	5.75	6.55	7.42	7.32	5.08	6.69
transcript5471.chr17.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript5478.chr17.nic	8.04	16.15	10.86	12.02	6.18	10.95	12.57	15.59
transcript5481.chr17.nic	4.8	0.0	0.0	3.4	5.28	1.8	3.48	0.0
transcript6551.chr17.nnic	3.42	1.92	2.4	1.49	1.51	4.34	2.04	3.5
transcript6552.chr17.nnic	12.56	20.83	11.0	16.28	12.73	12.02	13.5	15.2
transcript5798.chr19.nnic	0.53	1.09	1.13	0.92	1.41	1.08	0.3	0.28
transcript5802.chr19.nnic	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0
transcript3718.chr8.nnic	1.58	1.74	1.22	1.94	1.64	0.5	3.48	2.78
transcript3796.chr8.nnic	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript3615.chr8.nic	0.71	1.37	1.01	1.1	0.85	1.25	1.17	1.0
transcript415.chr11.nic	3.9	5.57	5.78	4.47	4.57	3.05	6.49	8.43
transcript9080.chr2.nnic	5.81	7.64	9.64	7.12	4.27	5.26	6.34	4.73
transcript2212.chr19.nnic	0.0	0.62	0.0	0.0	1.07	0.0	0.0	0.45
transcript5746.chr1.nnic	11.84	4.57	19.64	19.22	30.64	21.24	31.19	24.72
transcript5525.chr4.nic	4.74	0.89	4.06	0.43	3.93	2.51	6.8	5.52
transcript6013.chr8.nnic	0.0	0.44	0.0	0.0	0.0	1.04	0.43	0.0
transcript5733.chr7.nic	5.64	5.99	4.9	6.62	3.73	7.97	8.07	5.4
transcript5856.chr7.nnic	0.0	6.36	6.03	0.0	0.0	0.0	0.0	0.0
transcript10011.chr11.nnic	0.38	0.36	0.3	1.93	0.0	0.56	0.0	0.08
transcript4925.chr13.nic	27.62	23.62	26.0	21.85	21.56	21.36	15.81	18.04
transcript7780.chr1.nic	0.98	4.69	2.46	4.97	3.75	6.56	7.24	3.5
transcript6558.chr3.nic	0.0	0.0	4.77	0.0	0.81	0.0	0.0	0.0
transcript6560.chr3.nnic	0.97	0.0	0.0	0.0	0.42	0.47	2.01	1.71
transcript1124.chr19.nic	16.02	9.65	11.2	13.06	14.96	14.36	21.88	13.79
transcript1133.chr19.nic	0.7	0.74	0.72	1.26	2.86	1.61	1.05	0.73
transcript716.chr9.nic	3.11	2.96	1.83	2.31	0.0	0.0	1.49	0.0
transcript717.chr9.nic	0.31	0.87	0.0	0.44	0.81	0.0	0.0	0.0
transcript4393.chr2.nnic	0.23	0.73	0.56	1.03	2.29	1.42	0.41	0.95
transcript8010.chr3.nic	7.76	5.57	8.86	5.58	9.35	8.85	8.66	11.64
transcript1869.chr12.nnic	9.2	7.31	4.39	8.75	4.7	8.09	9.0	6.63
transcript3187.chr15.nnic	0.0	0.63	2.13	0.73	0.55	1.64	0.73	2.23
transcript3194.chr15.nnic	5.84	8.67	14.33	11.15	9.22	2.48	11.25	17.59
transcript3196.chr15.nnic	0.0	0.0	0.0	0.0	2.25	1.16	2.46	0.0
transcript3218.chr15.nnic	6.76	6.75	6.36	5.6	4.24	7.37	5.34	5.44
transcript7590.chr6.nic	7.18	8.27	6.89	6.29	8.77	7.46	5.8	6.73
transcript7599.chr6.nic	0.0	0.0	0.58	0.31	0.0	0.8	0.0	0.0
transcript7594.chr6.nic	2.92	4.17	3.46	0.32	1.33	4.17	2.42	2.41
transcript3025.chr8.nic	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0
transcript2978.chr6.nic	9.64	10.06	6.72	7.82	7.32	7.46	6.26	7.6
transcript4041.chr1.nnic	0.34	0.0	0.62	0.38	0.48	0.0	0.0	1.31
transcript11629.chr5.nic	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0
transcript7266.chr6.nnic	9.14	12.66	6.06	10.36	9.39	13.56	11.97	9.37
transcript7267.chr6.nnic	2.73	1.44	2.85	0.74	0.58	0.72	2.85	3.51
transcript2755.chr16.nic	9.43	7.57	6.77	8.83	9.97	6.19	7.55	6.6
transcript6156.chr1.nnic	1.14	1.83	1.16	1.19	1.55	1.69	1.32	1.98
transcript2834.chr14.nic	4.96	1.0	1.81	3.96	0.0	5.42	0.0	0.0
transcript2858.chr14.nic	19.07	9.88	15.84	0.0	9.58	9.09	15.19	12.2
transcript2796.chr14.nic	4.75	7.67	5.8	0.31	2.75	6.22	5.44	4.42
transcript2804.chr14.nic	0.51	0.0	0.0	3.37	1.65	0.91	1.28	0.62
transcript29.chr8.nic	15.31	0.01	0.95	4.11	6.79	0.0	10.88	0.55
transcript148.chr8.nnic	6.21	6.77	6.89	6.54	6.32	6.01	3.69	6.54
transcript152.chr8.nic	1.91	0.0	0.62	1.99	0.48	1.52	1.45	2.36
transcript154.chr8.nic	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0
transcript90.chr6.nic	10.49	6.73	9.45	6.25	5.18	5.1	8.7	6.7
transcript2777.chr6.nnic	9.86	8.15	9.07	8.13	11.97	9.43	9.12	10.29
transcript2537.chr5.nnic	7.26	5.08	4.85	4.4	4.55	2.54	3.82	3.59
transcript4896.chr9.nic	1.98	3.89	2.23	2.59	3.11	0.72	1.94	4.35
transcript4259.chr8.nic	1.13	1.19	1.47	1.68	2.28	1.03	1.33	1.34
transcript1718.chr12.nnic	0.83	0.9	0.95	2.2	0.99	0.87	0.26	0.47
